gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,placed,salary
F,69.8,Others,60.8,Others,Science,72.23,Sci&Tech,0,55.53,Mkt&HR,68.81,1,360000.0
F,77.4,Others,60.0,Others,Science,64.74,Sci&Tech,1,92.0,Mkt&Fin,63.62,1,300000.0
M,76.5,Others,97.7,Others,Science,78.86,Sci&Tech,0,97.4,Mkt&Fin,74.01,1,360000.0
F,52.58,Others,54.6,Central,Commerce,50.2,Comm&Mgmt,1,76.0,Mkt&Fin,65.33,0,
M,71.0,Others,79.0,Others,Commerce,66.0,Comm&Mgmt,1,94.0,Mkt&Fin,57.55,1,240000.0
M,63.0,Others,67.0,Others,Commerce,66.0,Comm&Mgmt,0,68.0,Mkt&HR,57.69,1,265000.0
M,76.76,Others,76.5,Others,Commerce,67.5,Comm&Mgmt,1,73.35,Mkt&Fin,64.15,1,350000.0
M,62.0,Central,67.0,Central,Commerce,58.0,Comm&Mgmt,0,77.0,Mkt&Fin,51.29,0,
F,64.0,Central,73.5,Central,Commerce,73.0,Comm&Mgmt,0,52.0,Mkt&HR,56.7,1,250000.0
F,67.0,Central,53.0,Central,Science,65.0,Sci&Tech,0,64.0,Mkt&HR,58.32,0,
F,61.0,Central,81.0,Central,Commerce,66.4,Comm&Mgmt,0,50.89,Mkt&HR,62.21,1,278000.0
F,87.0,Others,65.0,Others,Science,81.0,Comm&Mgmt,1,88.0,Mkt&Fin,72.78,1,260000.0
M,62.0,Others,51.0,Others,Science,52.0,Others,0,68.44,Mkt&HR,62.77,0,
F,69.0,Central,78.0,Central,Commerce,72.0,Comm&Mgmt,0,71.0,Mkt&HR,62.74,1,300000.0
M,51.0,Central,44.0,Central,Commerce,57.0,Comm&Mgmt,0,64.0,Mkt&Fin,51.45,0,
F,79.0,Central,76.0,Central,Science,65.6,Sci&Tech,0,58.0,Mkt&HR,55.47,1,320000.0
F,73.0,Others,58.0,Others,Science,66.0,Comm&Mgmt,0,53.7,Mkt&HR,56.86,1,240000.0
M,81.0,Others,68.0,Others,Science,64.0,Sci&Tech,0,93.0,Mkt&Fin,62.56,1,411000.0
F,78.0,Central,77.0,Others,Commerce,80.0,Comm&Mgmt,0,60.0,Mkt&Fin,66.72,1,287000.0
F,74.0,Others,63.16,Others,Commerce,65.0,Comm&Mgmt,1,65.0,Mkt&HR,69.76,0,
M,49.0,Others,39.0,Central,Science,65.0,Others,0,63.0,Mkt&Fin,51.21,0,
M,87.0,Others,87.0,Others,Commerce,68.0,Comm&Mgmt,0,95.0,Mkt&HR,62.9,1,300000.0
F,77.0,Others,73.0,Others,Commerce,81.0,Comm&Mgmt,1,89.0,Mkt&Fin,69.7,1,200000.0
F,76.0,Central,64.0,Central,Science,72.0,Sci&Tech,0,58.0,Mkt&HR,66.53,0,
F,70.89,Others,71.98,Others,Science,65.6,Comm&Mgmt,0,68.0,Mkt&HR,71.63,0,
M,63.0,Central,60.0,Central,Commerce,57.0,Comm&Mgmt,1,78.0,Mkt&Fin,54.55,1,204000.0
M,63.0,Others,62.0,Others,Commerce,68.0,Comm&Mgmt,0,64.0,Mkt&Fin,62.46,1,250000.0
F,50.0,Others,37.0,Others,Arts,52.0,Others,0,65.0,Mkt&HR,56.11,0,
F,75.2,Central,73.2,Central,Science,68.4,Comm&Mgmt,0,65.0,Mkt&HR,62.98,1,200000.0
M,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,0,67.0,Mkt&HR,62.65,0,
F,40.89,Others,45.83,Others,Commerce,53.0,Comm&Mgmt,0,71.2,Mkt&HR,65.49,0,
M,80.0,Others,70.0,Others,Science,72.0,Sci&Tech,0,87.0,Mkt&HR,71.04,1,450000.0
F,74.0,Central,60.0,Others,Science,69.0,Comm&Mgmt,0,78.0,Mkt&HR,65.56,1,216000.0
M,60.4,Central,66.6,Others,Science,65.0,Comm&Mgmt,0,71.0,Mkt&HR,52.71,1,220000.0
M,63.0,Others,71.4,Others,Commerce,61.4,Comm&Mgmt,0,68.0,Mkt&Fin,66.88,1,240000.0
M,68.0,Central,76.0,Central,Commerce,74.0,Comm&Mgmt,0,80.0,Mkt&Fin,63.59,1,360000.0
M,74.0,Central,62.0,Others,Science,68.0,Comm&Mgmt,0,74.0,Mkt&Fin,57.99,1,268000.0
M,52.6,Central,65.58,Others,Science,72.11,Sci&Tech,0,57.6,Mkt&Fin,56.66,1,265000.0
M,74.0,Central,70.0,Central,Science,72.0,Comm&Mgmt,1,60.0,Mkt&Fin,57.24,1,260000.0
M,84.2,Central,73.4,Central,Commerce,66.89,Comm&Mgmt,0,61.6,Mkt&Fin,62.48,1,300000.0
F,86.5,Others,64.2,Others,Science,67.4,Sci&Tech,0,59.0,Mkt&Fin,59.69,1,240000.0
M,61.0,Others,70.0,Others,Commerce,64.0,Comm&Mgmt,0,68.5,Mkt&HR,59.5,0,
M,80.0,Others,73.0,Others,Commerce,75.0,Comm&Mgmt,0,61.0,Mkt&Fin,58.78,1,240000.0
M,54.0,Others,47.0,Others,Science,57.0,Comm&Mgmt,0,89.69,Mkt&HR,57.1,0,
M,83.0,Others,74.0,Others,Science,66.0,Comm&Mgmt,0,68.92,Mkt&HR,58.46,1,275000.0
M,80.92,Others,78.5,Others,Commerce,67.0,Comm&Mgmt,0,68.71,Mkt&Fin,60.99,1,275000.0
F,69.7,Central,47.0,Central,Commerce,72.7,Sci&Tech,0,79.0,Mkt&HR,59.24,0,
M,73.0,Central,73.0,Central,Science,66.0,Sci&Tech,1,70.0,Mkt&Fin,68.07,1,275000.0
M,82.0,Others,61.0,Others,Science,62.0,Sci&Tech,0,89.0,Mkt&Fin,65.45,1,360000.0
M,75.0,Others,70.29,Others,Commerce,71.0,Comm&Mgmt,0,95.0,Mkt&Fin,66.94,1,240000.0
M,84.86,Others,67.0,Others,Science,78.0,Comm&Mgmt,0,95.5,Mkt&Fin,68.53,1,240000.0
M,64.6,Central,83.83,Others,Commerce,71.72,Comm&Mgmt,0,86.0,Mkt&Fin,59.75,1,218000.0
M,56.6,Central,64.8,Central,Commerce,70.2,Comm&Mgmt,0,84.27,Mkt&Fin,67.2,1,336000.0
F,59.0,Central,62.0,Others,Commerce,77.5,Comm&Mgmt,0,74.0,Mkt&HR,67.0,0,
F,66.5,Others,70.4,Central,Arts,71.93,Comm&Mgmt,0,61.0,Mkt&Fin,64.27,1,230000.0
M,64.0,Others,80.0,Others,Science,65.0,Sci&Tech,1,69.0,Mkt&Fin,57.65,1,500000.0
M,84.0,Others,90.9,Others,Science,64.5,Sci&Tech,0,86.04,Mkt&Fin,59.42,1,270000.0
F,69.0,Central,62.0,Central,Science,66.0,Sci&Tech,0,75.0,Mkt&HR,67.99,0,
F,69.0,Others,62.0,Others,Commerce,69.0,Comm&Mgmt,1,67.0,Mkt&HR,62.35,1,240000.0
M,81.7,Others,63.0,Others,Science,67.0,Comm&Mgmt,1,86.0,Mkt&Fin,70.2,1,300000.0
M,63.0,Central,67.0,Central,Commerce,74.0,Comm&Mgmt,0,82.0,Mkt&Fin,60.44,0,
